symbol,date,price
COMEX Gold Price,Mar 2009,925
COMEX Gold Price,Apr 2009,891.2
COMEX Gold Price,May 2009,980.3
COMEX Gold Price,Jun 2009,927.4
COMEX Gold Price,Jul 2009,955.8
COMEX Gold Price,Aug 2009,953.5
COMEX Gold Price,Sep 2009,1009.3
COMEX Gold Price,Oct 2009,1040.4
COMEX Gold Price,Nov 2009,1182.3
COMEX Gold Price,Dec 2009,1096.2
COMEX Gold Price,Jan 2010,1082.1
COMEX Gold Price,Feb 2010,1117.8
COMEX Gold Price,Mar 2010,1114.5
COMEX Gold Price,Apr 2010,1180.7
COMEX Gold Price,May 2010,1215.7
COMEX Gold Price,Jun 2010,1245.9
COMEX Gold Price,Jul 2010,1183.9
COMEX Gold Price,Aug 2010,1250.3
COMEX Gold Price,Sep 2010,1310.6
COMEX Gold Price,Oct 2010,1359.8
COMEX Gold Price,Nov 2010,1385.6
COMEX Gold Price,Dec 2010,1422
COMEX Gold Price,Jan 2011,1333.7
COMEX Gold Price,Feb 2011,1412.9
COMEX Gold Price,Mar 2011,1432.9
COMEX Gold Price,Apr 2011,1565.8
COMEX Gold Price,May 2011,1534
COMEX Gold Price,Jun 2011,1501.1
COMEX Gold Price,Jul 2011,1629
COMEX Gold Price,Aug 2011,1837.5
COMEX Gold Price,Sep 2011,1624.2
COMEX Gold Price,Oct 2011,1725.3
COMEX Gold Price,Nov 2011,1747.4
COMEX Gold Price,Dec 2011,1567
COMEX Gold Price,Jan 2012,1735
COMEX Gold Price,Feb 2012,1698.1
COMEX Gold Price,Mar 2012,1670.7
COMEX Gold Price,Apr 2012,1664.7
COMEX Gold Price,May 2012,1569
COMEX Gold Price,Jun 2012,1598.6
COMEX Gold Price,Jul 2012,1617.7
COMEX Gold Price,Aug 2012,1617.5
COMEX Gold Price,Sep 2012,1693.3
COMEX Gold Price,Oct 2012,1768.7
COMEX Gold Price,Nov 2012,1720.5
COMEX Gold Price,Dec 2012,1715.5
COMEX Gold Price,Jan 2013,1663
COMEX Gold Price,Feb 2013,1578.8
COMEX Gold Price,Mar 2013,1596
COMEX Gold Price,Apr 2013,1476.2
COMEX Gold Price,May 2013,1394
COMEX Gold Price,Jun 2013,1234.8
COMEX Gold Price,Jul 2013,1309.9
COMEX Gold Price,Aug 2013,1396.2
COMEX Gold Price,Sep 2013,1328
COMEX Gold Price,Oct 2013,1322.4
COMEX Gold Price,Nov 2013,1251.4
COMEX Gold Price,Dec 2013,1204.8
COMEX Gold Price,Jan 2014,1244.2
COMEX Gold Price,Feb 2014,1323.8
COMEX Gold Price,Mar 2014,1289.1
COMEX Gold Price,Apr 2014,1291.1
COMEX Gold Price,May 2014,1251.4
COMEX Gold Price,Jun 2014,1327.8
COMEX Gold Price,Jul 2014,1281.7
COMEX Gold Price,Aug 2014,1288
COMEX Gold Price,Sep 2014,1209.2
NYMEX Oil Price,Nov 2004,49.26
NYMEX Oil Price,Dec 2004,43.45
NYMEX Oil Price,Jan 2005,48.2
NYMEX Oil Price,Feb 2005,51.75
NYMEX Oil Price,Mar 2005,55.4
NYMEX Oil Price,Apr 2005,49.7
NYMEX Oil Price,May 2005,51.97
NYMEX Oil Price,Jun 2005,56.5
NYMEX Oil Price,Jul 2005,60.57
NYMEX Oil Price,Aug 2005,68.94
NYMEX Oil Price,Sep 2005,66.24
NYMEX Oil Price,Oct 2005,59.76
NYMEX Oil Price,Nov 2005,57.32
NYMEX Oil Price,Dec 2005,61.04
NYMEX Oil Price,Jan 2006,67.92
NYMEX Oil Price,Feb 2006,61.41
NYMEX Oil Price,Mar 2006,66.05
NYMEX Oil Price,Apr 2006,71.88
NYMEX Oil Price,May 2006,71.29
NYMEX Oil Price,Jun 2006,73.93
NYMEX Oil Price,Jul 2006,74.4
NYMEX Oil Price,Aug 2006,70.27
NYMEX Oil Price,Sep 2006,62.97
NYMEX Oil Price,Oct 2006,57.66
NYMEX Oil Price,Nov 2006,62.9
NYMEX Oil Price,Dec 2006,61.03
NYMEX Oil Price,Jan 2007,58.01
NYMEX Oil Price,Feb 2007,61.74
NYMEX Oil Price,Mar 2007,65.87
NYMEX Oil Price,Apr 2007,65.71
