id,Location,AQI,Grade,Pollutant,Airquality,Year_Month,Day
196,怀柔镇,189,IV,细颗粒物,中度污染,2013-1,20
197,西直门北大街,-,-,-,-,2013-1,20
198,南三环西路,130,III,细颗粒物,轻度污染,2013-1,20
199,京东北密云水库,134,III,细颗粒物,轻度污染,2013-1,20
200,东城东四,147,III,细颗粒物,轻度污染,2013-1,21
201,西城万寿西宫,160,IV,细颗粒物,中度污染,2013-1,21
202,朝阳奥体中心,152,IV,细颗粒物,中度污染,2013-1,21
203,海淀北京植物园,100,II,细颗粒物,良,2013-1,21
204,丰台花园,170,IV,细颗粒物,中度污染,2013-1,21
205,通州新城,234,V,细颗粒物,重度污染,2013-1,21
206,怀柔镇,158,IV,细颗粒物,中度污染,2013-1,21
207,西直门北大街,100,II,二氧化氮,良,2013-1,21
208,南三环西路,185,IV,细颗粒物,中度污染,2013-1,21
209,京东北密云水库,102,III,细颗粒物,轻度污染,2013-1,21
210,东城东四,220,V,细颗粒物,重度污染,2013-1,22
211,西城万寿西宫,216,V,细颗粒物,重度污染,2013-1,22
212,朝阳奥体中心,205,V,细颗粒物,重度污染,2013-1,22
213,海淀北京植物园,196,IV,细颗粒物,中度污染,2013-1,22
214,丰台花园,192,IV,细颗粒物,中度污染,2013-1,22
215,通州新城,355,VI,细颗粒物,重度污染,2013-1,22
216,怀柔镇,169,IV,细颗粒物,中度污染,2013-1,22
217,西直门北大街,228,V,细颗粒物,重度污染,2013-1,22
218,南三环西路,237,V,细颗粒物,重度污染,2013-1,22
219,京东北密云水库,110,III,细颗粒物,轻度污染,2013-1,22
220,东城东四,359,VI,细颗粒物,重度污染,2013-1,23
221,西城万寿西宫,330,VI,细颗粒物,重度污染,2013-1,23
222,朝阳奥体中心,386,VI,细颗粒物,重度污染,2013-1,23
223,海淀北京植物园,319,VI,细颗粒物,重度污染,2013-1,23
224,丰台花园,321,VI,细颗粒物,重度污染,2013-1,23
225,通州新城,295,V,细颗粒物,重度污染,2013-1,23
226,怀柔镇,297,V,细颗粒物,重度污染,2013-1,23
227,西直门北大街,386,VI,细颗粒物,重度污染,2013-1,23
228,南三环西路,349,VI,细颗粒物,重度污染,2013-1,23
229,京东北密云水库,248,V,细颗粒物,重度污染,2013-1,23
230,东城东四,52,II,二氧化氮,良,2013-1,24
231,西城万寿西宫,65,II,二氧化氮,良,2013-1,24
232,朝阳奥体中心,50,I,-,优,2013-1,24
233,海淀北京植物园,47,I,-,优,2013-1,24
234,丰台花园,103,III,二氧化氮,轻度污染,2013-1,24
235,通州新城,65,II,二氧化氮,良,2013-1,24
236,怀柔镇,39,I,-,优,2013-1,24
237,西直门北大街,64,II,二氧化氮,良,2013-1,24
238,南三环西路,85,II,二氧化氮,良,2013-1,24
239,京东北密云水库,41,I,-,优,2013-1,24
240,东城东四,94,II,二氧化氮,良,2013-1,25
241,西城万寿西宫,88,II,二氧化氮,良,2013-1,25
242,朝阳奥体中心,104,III,二氧化氮,轻度污染,2013-1,25
243,海淀北京植物园,95,II,二氧化氮,良,2013-1,25
244,丰台花园,103,III,二氧化氮,轻度污染,2013-1,25
245,通州新城,112,III,细颗粒物,轻度污染,2013-1,25
246,怀柔镇,64,II,细颗粒物,良,2013-1,25
247,西直门北大街,97,II,二氧化氮,良,2013-1,25
248,南三环西路,93,II,细颗粒物,良,2013-1,25
249,京东北密云水库,40,I,-,优,2013-1,25
250,东城东四,182,IV,细颗粒物,中度污染,2013-1,26
251,西城万寿西宫,195,IV,细颗粒物,中度污染,2013-1,26
252,朝阳奥体中心,179,IV,细颗粒物,中度污染,2013-1,26
253,海淀北京植物园,150,III,细颗粒物,轻度污染,2013-1,26
254,丰台花园,189,IV,细颗粒物,中度污染,2013-1,26
255,通州新城,235,V,细颗粒物,重度污染,2013-1,26
